Season,Race,Overtakes,TV,Percentage,raceId,circuitId,name_x,url,weather_description,weather
2007,Spain,5,2,40.0,39,4,Spanish Grand Prix,http://en.wikipedia.org/wiki/2007_Spanish_Grand_Prix,Sunny and warm,Dry
2007,Monaco,2,1,50.0,40,6,Monaco Grand Prix,http://en.wikipedia.org/wiki/2007_Monaco_Grand_Prix,"Cloudy, air temp 24–27 °C (75–81 °F), track temp 33–42 °C (91–108 °F)",Dry
2007,Canada,21,17,80.95,41,7,Canadian Grand Prix,http://en.wikipedia.org/wiki/2007_Canadian_Grand_Prix,Warm with temperatures approaching 26 °C (79 °F); wind speeds up to 5.8 kilometres per hour (3.6 mph)[1],Dry
2007,USA,18,13,72.22,42,19,United States Grand Prix,http://en.wikipedia.org/wiki/2007_United_States_Grand_Prix,Warm (33C/91F) and clear,Dry
2007,France,9,6,66.67,43,8,French Grand Prix,http://en.wikipedia.org/wiki/2007_French_Grand_Prix,Cloudy,Dry
2007,Great Britain,15,13,86.67,44,9,British Grand Prix,http://en.wikipedia.org/wiki/2007_British_Grand_Prix,Dry and sunny,Dry
2007,Europe,82,33,40.24,45,20,European Grand Prix,http://en.wikipedia.org/wiki/2007_European_Grand_Prix,Heavy Rain on Lap 1. Drying track at restart. Light Rain before the finish.,Wet
2007,Hungary,5,3,60.0,46,11,Hungarian Grand Prix,http://en.wikipedia.org/wiki/2007_Hungarian_Grand_Prix,"Sunny, temperatures reaching up to 27 °C (81 °F)[4]",Dry
2007,Turkey,15,3,20.0,47,5,Turkish Grand Prix,http://en.wikipedia.org/wiki/2007_Turkish_Grand_Prix,Sunny,Dry
2007,Italy,14,6,42.86,48,14,Italian Grand Prix,http://en.wikipedia.org/wiki/2007_Italian_Grand_Prix,Sunny,Dry
2007,Belgium,16,5,31.25,49,13,Belgian Grand Prix,http://en.wikipedia.org/wiki/2007_Belgian_Grand_Prix,"Partly cloudy, mild and dry",Dry
2007,Japan,62,22,35.48,50,16,Japanese Grand Prix,http://en.wikipedia.org/wiki/2007_Japanese_Grand_Prix,Very heavy rain,Wet
2007,China,46,19,41.3,51,17,Chinese Grand Prix,http://en.wikipedia.org/wiki/2007_Chinese_Grand_Prix,Intermittent light rain,Wet
2007,Brazil,24,18,75.0,52,18,Brazilian Grand Prix,http://en.wikipedia.org/wiki/2007_Brazilian_Grand_Prix,"37 °C (Air), 63 °C (Track)",Dry
2006,Bahrain,46,20,43.48,53,3,Bahrain Grand Prix,http://en.wikipedia.org/wiki/2006_Bahrain_Grand_Prix,"Fine, Dry and HotAir Temp 23 °C (73 °F)[1]Track Temp 40 °C (104 °F)[1] dropping to 34 °C (93 °F)",Dry
2006,Malaysia,16,7,43.75,54,2,Malaysian Grand Prix,http://en.wikipedia.org/wiki/2006_Malaysian_Grand_Prix,"Fine, Air Temp: 33°C, Wind Speed: 1.5 m/s, Humidity: 61%",Dry
2006,Australia,26,13,50.0,55,1,Australian Grand Prix,http://en.wikipedia.org/wiki/2006_Australian_Grand_Prix,Cloudy with sunny breaks. Air temperature 20°C,Dry
2006,San Marino,2,0,0.0,56,21,San Marino Grand Prix,http://en.wikipedia.org/wiki/2006_San_Marino_Grand_Prix,Sunny,Dry
2006,Europe,10,3,30.0,57,20,European Grand Prix,http://en.wikipedia.org/wiki/2006_European_Grand_Prix,No weather description,Dry
2006,Spain,7,0,0.0,58,4,Spanish Grand Prix,http://en.wikipedia.org/wiki/2006_Spanish_Grand_Prix,Sunny,Dry
2006,Monaco,19,5,26.32,59,6,Monaco Grand Prix,http://en.wikipedia.org/wiki/2006_Monaco_Grand_Prix,Fine,Dry
2006,Great Britain,5,1,20.0,60,9,British Grand Prix,http://en.wikipedia.org/wiki/2006_British_Grand_Prix,Sunny,Dry
2006,Canada,11,9,81.82,61,7,Canadian Grand Prix,http://en.wikipedia.org/wiki/2006_Canadian_Grand_Prix,Sunny and warm with temperatures reaching up to 28 °C (82 °F); wind speeds up to 4.1 kilometres per hour (2.5 mph)[1],Dry
2006,USA,6,4,66.67,62,19,United States Grand Prix,http://en.wikipedia.org/wiki/2006_United_States_Grand_Prix,"Sunny, hot",Dry
2006,France,5,4,80.0,63,8,French Grand Prix,http://en.wikipedia.org/wiki/2006_French_Grand_Prix,"Sunny, warm",Dry
2006,Germany,20,6,30.0,64,10,German Grand Prix,http://en.wikipedia.org/wiki/2006_German_Grand_Prix,"Sunny, warm",Dry
2006,Hungary,37,15,40.54,65,11,Hungarian Grand Prix,http://en.wikipedia.org/wiki/2006_Hungarian_Grand_Prix,Cool and rainy with temperatures reaching up to 20 °C (68 °F)[4],Wet
2006,Turkey,32,20,62.5,66,5,Turkish Grand Prix,http://en.wikipedia.org/wiki/2006_Turkish_Grand_Prix,"Sunny, hot",Dry
2006,Italy,13,2,15.38,67,14,Italian Grand Prix,http://en.wikipedia.org/wiki/2006_Italian_Grand_Prix,Warm and sunny with temperatures reaching up to 27 °C (81 °F)[1],Dry
2006,China,59,31,52.54,68,17,Chinese Grand Prix,http://en.wikipedia.org/wiki/2006_Chinese_Grand_Prix,"Cloudy, wet track that progressively dried up.Rainy during the last few laps.",Wet
2006,Japan,11,2,18.18,69,22,Japanese Grand Prix,http://en.wikipedia.org/wiki/2006_Japanese_Grand_Prix,Fine,Dry
2006,Brazil,20,12,60.0,70,18,Brazilian Grand Prix,http://en.wikipedia.org/wiki/2006_Brazilian_Grand_Prix,Temperatures reaching up to 23 °C (73 °F)[1],Dry
2005,Australia,7,5,71.43,71,1,Australian Grand Prix,http://en.wikipedia.org/wiki/2005_Australian_Grand_Prix,"Cool, partly cloudy",Dry
2005,Malaysia,12,11,91.67,72,2,Malaysian Grand Prix,http://en.wikipedia.org/wiki/2005_Malaysian_Grand_Prix,"Fine, Air: 34–36 °C (93–97 °F) and Track: 44–50 °C (111–122 °F)",Dry
2005,Bahrain,13,8,61.54,73,3,Bahrain Grand Prix,http://en.wikipedia.org/wiki/2005_Bahrain_Grand_Prix,"Sunny, 42 °C (108 °F)[1]",Dry
2005,San Marino,9,5,55.56,74,21,San Marino Grand Prix,http://en.wikipedia.org/wiki/2005_San_Marino_Grand_Prix,Warm and cloudy,Dry
2005,Spain,4,2,50.0,75,4,Spanish Grand Prix,http://en.wikipedia.org/wiki/2005_Spanish_Grand_Prix,"Sunny, warm",Dry
2005,Monaco,16,8,50.0,76,6,Monaco Grand Prix,http://en.wikipedia.org/wiki/2005_Monaco_Grand_Prix,Fine,Dry
2005,Europe,25,8,32.0,77,20,European Grand Prix,http://en.wikipedia.org/wiki/2005_European_Grand_Prix,"Partly cloudy, hot and dry",Dry
2005,Canada,11,2,18.18,78,7,Canadian Grand Prix,http://en.wikipedia.org/wiki/2005_Canadian_Grand_Prix,Cloudy and hot with temperatures approaching 32.5 °C (90.5 °F)Wind speeds up to 5.1 km/h (3.2 mph)[1]Track 43–47 °C (109–117 °F),Dry
2005,USA,0,0,0.0,79,19,United States Grand Prix,http://en.wikipedia.org/wiki/2005_United_States_Grand_Prix,"Cloudy, temperatures up to 25.0 °C (77.0 °F); wind speeds up to 17.9 km/h (11.1 mph)[4]",Dry
2005,France,5,2,40.0,80,8,French Grand Prix,http://en.wikipedia.org/wiki/2005_French_Grand_Prix,"Sunny, Air: 32 °C (90 °F), Track 53 °C (127 °F)",Dry
2005,Great Britain,8,4,50.0,81,9,British Grand Prix,http://en.wikipedia.org/wiki/2005_British_Grand_Prix,"Sunny, Air: 27 °C (81 °F), Track 47 °C (117 °F)",Dry
2005,Germany,18,7,38.89,82,10,German Grand Prix,http://en.wikipedia.org/wiki/2005_German_Grand_Prix,"Cloudy with drizzle, but staying dry during the race. Air temp: 24°C.",Wet
2005,Hungary,10,4,40.0,83,11,Hungarian Grand Prix,http://en.wikipedia.org/wiki/2005_Hungarian_Grand_Prix,"Sunny, Air: 34 °C (93 °F), Track 45 °C (113 °F)",Dry
